Category,Distance,Angle,Dissimilarity,Correlation,Contrast,Energy,Homogeneity,ASM
blat,1,0.0,0.0629306102362204,0.9283098150677844,0.0631766732283464,0.603442277360449,0.9685593011811024,0.364142582105965
blat,1,45.0,0.1011842023684047,0.8844214785867304,0.1016802033604067,0.5824700040447278,0.949457498914998,0.3392713056118653
blat,1,90.0,0.0728961614173228,0.916901782830546,0.0730191929133858,0.598424450667952,0.9635642224409452,0.3581118231572401
blat,1,135.0,0.0629306102362204,0.9283098150677844,0.0631766732283464,0.603442277360449,0.9685593011811024,0.364142582105965
blat,3,0.0,0.1505,0.8271676216218362,0.15275,0.5556663686793093,0.9249750000000002,0.3087651132812501
blat,3,45.0,0.1864761904761905,0.7846439089418581,0.1888888888888888,0.5389953870033438,0.9070031746031748,0.2905160272108844
blat,3,90.0,0.1719055118110236,0.8008385427947258,0.1742992125984252,0.5465369502433262,0.9142866141732284,0.298702637981276
blat,3,135.0,0.1505,0.8271676216218362,0.15275,0.5556663686793093,0.9249750000000002,0.3087651132812501
blat,5,0.0,0.1960111788617886,0.7756486145979171,0.1985518292682927,0.532334981001983,0.902248475609756,0.2833805319983816
blat,5,45.0,0.2151612903225806,0.7519686995555213,0.2170967741935484,0.5257517030669855,0.8926129032258064,0.2764148532778356
blat,5,90.0,0.2000128008192524,0.7692038956166819,0.2016769073220686,0.5332401785298876,0.9001600102406554,0.2843450879985864
blat,5,135.0,0.1960111788617886,0.7756486145979171,0.1985518292682927,0.532334981001983,0.902248475609756,0.2833805319983816
blat,1,0.0,0.0481668307086614,0.8826269720779091,0.0481668307086614,0.7419697346814045,0.9759165846456692,0.5505190871831938
blat,1,45.0,0.0844441688883377,0.7941136963885052,0.0844441688883377,0.7208766628755391,0.957777915555831,0.5196631630785736
blat,1,90.0,0.0612081692913385,0.8506226536528102,0.0612081692913385,0.7346453441062809,0.9693959153543308,0.5397037816170359
blat,1,135.0,0.0481668307086614,0.8826269720779091,0.0481668307086614,0.7419697346814045,0.9759165846456692,0.5505190871831938
blat,3,0.0,0.1224375,0.7021263284958813,0.1224375,0.6990416416758556,0.9387812500000002,0.4886592167968752
blat,3,45.0,0.1674285714285714,0.5848830817791609,0.1702222222222222,0.6777097516139211,0.9165650793650792,0.4592905074326026
blat,3,90.0,0.1539527559055118,0.6223746373676882,0.1547086614173228,0.6838557928141654,0.9230992125984252,0.4676587453654907
blat,3,135.0,0.1224375,0.7021263284958813,0.1224375,0.6990416416758556,0.9387812500000002,0.4886592167968752
blat,5,0.0,0.1713668699186991,0.583526453429106,0.1717479674796747,0.6730497338759962,0.9143546747967478,0.4529959442705493
blat,5,45.0,0.1984516129032258,0.5065525833456422,0.2023225806451613,0.6633434877394417,0.9011612903225806,0.4400245827263269
blat,5,90.0,0.1861879160266257,0.5419526966011378,0.1877240143369176,0.6683034458283572,0.9070596518177164,0.4466294957060559
